뚜레쥬르 지점,뚜레쥬르 화정중앙,뚜레쥬르 화정덕양구청,뚜레쥬르 마두역,뚜레쥬르 일산동국대병원점,뚜레쥬르 일산산들,뚜레쥬르 광명휴먼시아,뚜레쥬르 광명하안,뚜레쥬르 곤지암,뚜레쥬르 광주탄벌,뚜레쥬르 구리인창삼보,뚜레쥬르 카페구리갈매,뚜레쥬르 안양금정역,뚜레쥬르 김포마송,뚜레쥬르 김포마산,뚜레쥬르 카페양곡,뚜레쥬르 장현,뚜레쥬르 마석창현,뚜레쥬르 반정아이파크캐슬,뚜레쥬르 카페부천역,뚜레쥬르 부천대성,뚜레쥬르 성남하나로마트,뚜레쥬르 카페서판교,뚜레쥬르 카페서현역,뚜레쥬르 판교위든타워,뚜레쥬르 수원고색,뚜레쥬르 수원판타지움,뚜레쥬르 수원동보신명,뚜레쥬르 수원정자,뚜레쥬르 수원천천푸르지오,뚜레쥬르 매교솔밭사거리,뚜레쥬르 수원역로데오,뚜레쥬르 매교힐스테이트,뚜레쥬르 배곧한라비발디,뚜레쥬르 카페시흥정왕,뚜레쥬르 시화세종,뚜레쥬르 카페안산중앙,뚜레쥬르 안산다농,뚜레쥬르 안산센트럴포레,뚜레쥬르 안양호계현대,뚜레쥬르 안양수촌마을,뚜레쥬르 평촌학원가,뚜레쥬르 양주옥정역,뚜레쥬르 양주옥정고,뚜레쥬르 옥정한신더휴,뚜레쥬르 양평서종,뚜레쥬르 여주역푸르지오,뚜레쥬르 여주오학,뚜레쥬르 오산법원,뚜레쥬르 오산누읍,뚜레쥬르 오산역,뚜레쥬르 용인흥덕,뚜레쥬르 동천동문,뚜레쥬르 용인데이파크,뚜레쥬르 수지구청역,뚜레쥬르 용인죽전,뚜레쥬르 용인파머스마켓,뚜레쥬르 용인양지,뚜레쥬르 용인둔전,뚜레쥬르 의왕역,뚜레쥬르 오전중앙,뚜레쥬르 신곡초교,뚜레쥬르 의정부신곡,뚜레쥬르 의정부센트럴,뚜레쥬르 이천SK하이닉스,뚜레쥬르 이천창전사거리,뚜레쥬르 파주운정가람,뚜레쥬르 파주금촌역,뚜레쥬르 평택에이스고덕,뚜레쥬르 평택법원,뚜레쥬르 평택지제영신,뚜레쥬르 하남신장,뚜레쥬르 미사강변,뚜레쥬르 화성시청,뚜레쥬르 동탄지스타,뚜레쥬르 동탄메타폴리스,뚜레쥬르 동탄역,뚜레쥬르 향남2지구,뚜레쥬르 병점금강,뚜레쥬르 병점중심상가
고단백하루견과곡물브레드,,6300,6300,6300,,6300,6300,6300,,,,,6900,5300,,,6300,6300,,,,,,6300,6500,6300,6300,6300,,,6300,,6600,,,6700,6300,,6500,,,,,,6300,,,,,,,,7000,,,,,,,6300,,,,,,,,,,6300,,,,,6300,6300,,6700,
아침엔 보리쌀롤 (6개입),,,4700,,,,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,,,,,,,,,,,,,,,,4700,,,,,,
간편하게 발라먹는 앙버터 스프레드,,,,,,,,3700,,,,,,,,,3900,,,,,,,,,,3900,,,,,,,,,,,,,,,,,,,,,,,,,,4100,,,,,,,,3900,,,,,,3900,,,,,,,,,,,,3900
뚜쥬맘계란토스트(1/2),,,,3500,,,3500,3500,,,,,,,,,3500,3500,,3500,,,,3500,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,3500,,,,,,,,,,,,,,3500,,,,3500
치즈치즈번,,,,,,,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,3300,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,
충남예산 쪽파&베이컨,,,,2900,,,,2700,,,,,,,,,2900,,,,,,2900,,2900,,2900,,,,2900,,2900,,2900,,2900,,,2900,2900,2900,,2900,2900,,2900,,,,,,,,,3200,,,,2900,,,,,,,,,,,,2900,,,,,2900,2900,2900
앙버터 소금버터롤,4300,,4300,,,,,4300,4300,4500,,4300,4300,,,,4300,,4300,4300,,,,,,,,,4300,4300,4300,,,,,,,,,,4300,4300,4300,4300,4300,,,,,,4300,,,,,,,4300,,,4300,,,,,,,,4300,,4300,,4300,4300,,4800,4300,4300,
잠봉뵈르 소금버터롤,5200,,,,,,,5200,,5400,,5200,,,,,,,5200,,,,5200,,,,,,5200,,5200,,,,,,,,,,,5200,,,5200,,,,,,,,,,,5400,,,,,5200,,,,,,,,,,5200,,5200,5200,,,5200,5200,
초코 퐁당 코르네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림코르네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카라멜러스크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리코타 그릴치킨 샐러드,8400,,,,,,,8400,,,,8400,,,,,,,,8400,,,,8400,,,,,,,,,,,,,,8400,,,8400,,,,,,,,,,,,9400,,,7500,,,,,,,,,,,,,,,,,,8400,,9800,,8400,
햄&포테이토 샐러드 샌드위치,,,7400,,,,,,,,,7400,,,,,,,,7400,7800,,,,,7400,,7400,7400,,7400,,,7400,,,,,,,,7500,,,,7500,7500,,,,,,8300,,,7600,,7400,,,,,,,7400,,,,7400,,7400,,,,,,,,7400
크랜베리치킨 샌드위치,,,,7200,,,,7200,,,,,8000,,,,,,,,7800,,7000,,,,,,,,,,,7200,,,,,,,,,,,,,,,,,7200,7200,,,,,,,,,,,,,,,,,,,,,,,,,,8000,
썸머타코 치킨 샐러드,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레드타코치킨 샌드위치,7500,7500,,,7000,,,7000,7000,7000,7200,7000,,7000,,,,7200,,,7900,,7500,7000,7000,,7100,,,7000,7600,7000,,7000,7000,7500,7000,7000,,,7000,,,,,7500,,,,,,7200,,,,7500,,,7000,7000,7000,,,,,,,,,7500,7000,,7000,7000,7000,8700,7000,8000,
TLJ 치킨클럽 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
통밀레드치킨 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,,,,,,,,7500,,,,,,,,,,,,,,7500,,7000,,,,,,,,,,,,,,,,,,,,,
머쉬룸불고기샐러드,,,,,,,8300,,,,,8300,,,,,,,,,,,,,,,,,,,,,,,,5100,,,,,,,,,,,,,,,,,,,,,,,,8300,,,,,,,,,,,,,,,,9800,,,
치킨 텐더 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72겹의 정성 데니쉬 식빵,,,,,,6500,6500,6500,,6500,,,,,,,,,,,,,,,,,,,,,,,,6500,6500,,6500,,,,,,,6500,,,,,,,,,,,,,,,6500,,,6500,,,7300,,,,6500,,,,,,6500,,,,6500
폭신폭신 모닝롤 (8개입),,,,,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연유퐁당밀크브레드(소),3200,,,,3200,3200,3200,,,3800,3200,,4800,3200,3200,3200,,3300,3200,,,,,3200,,3000,3200,3300,3500,3200,3500,3300,,,3200,,,,,,,3500,3400,3200,,,3700,3400,,,3200,,,,,3500,3200,,3600,,,3200,3200,,3500,3200,,,3200,,,,3200,3200,,3800,3200,,
생크림 크라상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생크림소보로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연유크림만난단팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쑥이 듬뿍 맘모스(대),,,,,,,5900,,5900,,,,,,,,,,,,,,,,,,,,,,,,,5900,,,5900,,,,,5900,,,5900,5900,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,,,,
매직모카크림빵,,,,,,5900,6200,,,,5900,5900,,,,,5900,,,,,,,,6500,6300,5900,,,,6200,,,5900,,,5900,,,,,6500,,,,,,,,,,,,,,,,,,,5900,,5900,,,,,,5700,,,,,,,,,6500,
사르르 우유크림빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갈릭 치즈바게트,,,,,,,4200,,4200,,,,,,,,4200,,,,,,,,,,,,,,4200,,,4200,,,4200,4200,,,,4500,,,,,,4200,4200,,4200,,,,,4400,,,,4200,,4200,4200,,4700,,4200,,,,,,4200,,,,4200,,4200
피자바게트,,,,,,,,,,,,4700,,,,,,,,,,,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,4700,,,5500,,,4800,,4700,,,,,,,,,
휭거마드레느,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스바게트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겉바속촉 꿀버터 바게트,,,,,,,3300,,,3600,,,,,,,,,,,,,,,,,,,,,,,,3300,,,3300,,,,,,,,,,,3300,,,,3300,,,,,,,,,,,,,3500,,,,,,,,,,3300,,,,
마늘빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한입두입미니단팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남해 마늘로만든 버터 갈릭꽈배기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남해 마늘로 만든 버터 갈릭 꽈배기,,,,,,,3300,3300,,,,,3800,,,,,,,,,,,,,,,,,,3600,,,3300,,,3300,,,,,3300,,,,,,3300,,,,,,,,3400,,,,,,,,,,,,,,,3300,,,,,,3300,,
초코마카롱도넛,,2200,2200,,2200,2200,,2200,2200,2800,,,3200,,,,,2200,,2200,,,,,2200,,2200,2200,2400,2200,,,2900,2200,2200,2200,2200,,2200,2200,,2200,2200,,,2400,2500,2200,2200,2200,2200,,,,,,2200,,,,2200,2200,,,2400,,,,,2200,,,,2200,2200,,2200,2500,2200
딸기마카롱도넛,,2200,2200,,2200,2200,,2200,2200,2800,,,,,,2200,2200,2200,,2200,,,,,2200,,2200,2200,2400,2200,2500,,2900,2200,2200,2200,2200,2200,2200,2200,,2200,,,,2400,2500,,2200,,2200,,,,,,2200,,,,,2200,,,2400,,,,,2200,2200,,,2200,2200,,2200,2500,2200
피크닉 튜나 샌드위치,,,,,6900,,,6700,,,,,,,,,,,,6900,,,6800,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6900,7000,,,,,,,,,
후랑크 패스트리,,,,,,3300,3300,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,,,,,,3300,,3500,,,3300,,,,,,,,,,,,,,,,3300,,,,,,,,3300,,,,,,,,,3500,
고단백치킨&아보카도샌드위치,,,,,,,,7500,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고단백치킨페스토곡물샌드위치,,7500,,,,,,7500,7500,,,,,7200,,,,7800,,,,7700,,7500,,7500,7500,,,,7700,,7800,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,,,7500,,,8700,,8000,
통밀 튜나샌드위치,7500,,,,,,,6700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300,,,,8700,,,
그릴치킨 오렌지 샐러드,11500,,,10800,,,,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,9100,,,,,,11000,,,,,,,,,,,,,,11000,,,,,,,,,,,,,,,,,,,,,,,
2배 더 진해진 순진 우유식빵 (half),,,,3000,,3000,,3000,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,3000,,,,,3000,,,3000,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,
쌀모닝 바게트 (2개입),,,,,,,,4500,,,,,,,,,4500,,,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,
메이플피칸크림치즈베이글(월넛),4300,,4300,,,,,4300,,,,,,,,,4300,,,,,,,,,,,,,,5000,4600,,,,,,,,,,,,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,,,,,,
블루베리 크림치즈,,,,2900,,,,2700,,,,2900,,,,,2900,,,,,,2900,,,,2900,,,,2900,,,,2900,,2900,,,,,2900,,,2900,,,,,,,,,,,3200,,,,2900,,,,,,,,,,2900,,2900,,,,,,2900,
뚜쥬맘계란토스트,,,,,,,,6500,,,,,,,,,6500,,,,,,,,,,,,6500,,5900,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남예산쪽파 송송 고로케,,3500,3500,3500,3500,,3500,3500,3300,,,3500,3800,3500,,3500,3500,,,,,3500,3500,3500,3500,3500,3500,3500,,,3500,3500,3500,,,,,,,3500,,3500,3500,3500,3500,,,3500,,,,,,,,3600,,,,3500,3500,,,,,3500,,,,3500,3500,,,3500,3500,3500,3500,3500,3500
말차 퐁당 코르네,,,,,,,,2800,,,,,,,,,2800,,,,,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
트러플 소금버터롤,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,,,,,,,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,
쉬림프에그마요샌드위치,7300,7300,,,,,,7300,,,7500,,,7300,,,7300,,,,,7700,,,,,,,,,,,7300,,7300,,,,,,,,,,7300,,,,,,,,,,,7500,,7300,,,,7300,,,,,,,,,,,,7300,7300,8700,7300,7300,7300
겹겹이 데니쉬,4500,,,,,,,4500,,,,,,,,,,,,,,,,4500,,4600,,,4600,,4900,,,,,,,,,,,4600,4500,,,,,,,,,,,,,,,4500,4500,,,,,,5200,,,,,,,,,,,5200,,,
메이플피칸크림치즈,,,,2600,,,,2600,,,,,,,,,2600,,,,,,2600,,,,2600,,,,2900,,3200,,,,2600,,,,2600,2600,,2600,,,,,,,,,,,,3200,,,,,,,,,,,,,,2900,,2600,,,,,,2600,
까망쿠키 속 리얼말차크림빵,,,,,,,,,,,,,,,,,3900,,,,,,,,,,,,,,,,,,,,,3900,,,,,,,3900,,,,,,,,,,,,,,,,,,3900,,,,,,,,,,,,,,,,
고단백하루견과스틱,,,,,,3600,,3600,,,,,,,,,3600,,,,,,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,
고단백허니러스크,,,,,,,,4200,,,,,,,,,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,,,,,,,,,,,,,,,,,,,,
쉬림프에그마요샌드위치 (1/2),,,,,,,,4500,,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
불고기치즈바게트,,,,,,,,7000,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겹겹이돈가스샌드위치(1/2),,,,,,,,3800,,,,,,,,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겹겹이돈가스샌드위치,,,,,,,,7500,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소한 햄에그 샌드위치 (1/2),,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소한 햄치즈 에그 샌드위치 (1/2),,,,4300,,,,4500,,,,,,,,,4300,,,,,,,,,,,,,,4300,,,,4300,,,,,,,,,,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,,,,,,
바삭연유콘치즈,,,,,,,,2900,,,,,,,,,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사과만난 크림치즈 브레드,,,,,,,,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퐁신퐁신 우유 도넛,,,,,3200,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,,,,,,,,,,,,,,,,,,3600,,,,,3200,,3200,,,,,,,3200,,,,,,,,,
쏙쏙 토스트,,,,,,,,,,,,,,,4700,,,,,,,,,4700,,,,,,4700,5200,,,,,,,,,,,,,,,,,,,,4800,,,,,,4700,4700,4700,,,,,,,,,,4700,,,,,,,,,,
씨앗가득 고소함이 찰떡,,,,,,,5200,5200,,,,,,,,,,,,,,,,,,,,,,,5200,5800,,,,,,,,,,,,,5200,,,,,,,,,,,,,,,,,,,,,,,5300,,,,,,,,,,,
고구마 소보로,,,,3400,,,,3300,,,,,,,,3300,3300,,,,,,,,,,,3300,3500,,,3500,,3300,,3700,3300,,,,3300,3300,3500,,3300,,,3300,,,,,,,,,3300,,,3300,,3300,,,3700,,3300,3800,,,,,,,3300,,,,
단.계.감.모닝롤 샌드위치,,,,7500,,,,,,,,,,,,,7500,,,,,,7500,,,,,,,,,,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,
쑥이 듬뿍 맘모스(소),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,,,,,,,,,,,,,,,,,3400,,,,3000,,,,,,3000,,,,,,,,,,
울퉁불퉁 왕찰떡빵 (대),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울퉁불퉁 왕찰떡빵 (소),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,,,,,,,,,,,,,,3300,,
연유퐁당밀크브레드(대),6000,6000,,,,,6000,,,,6000,6000,,,,,,,,,,,,,,6000,,,,,,,,6000,,,6000,,,,,6500,6000,,,,,,,,,,,,,,,,,,6000,,,,6400,,6000,,,,,,,,,,,6000,6000
마구마구 고구마,,,,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600,,,5600,,,,,,,,,,,5900,,,,,,,5600,,,,,6300,,,,,,,,,,7300,
연유버터라우겐,,,,,,,,4800,,,,,,,,,,,,,,,,,,,,4900,,,4300,,,,,,,,,,,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
앙버터라우겐,,,,,,,,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900,,,,,,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새우오믈렛토스트,4700,,,4700,,,,,4700,,,,,,4700,,,,,,,,4700,,,,,,,,4900,,,,,4700,,,,,,,,,,,,,,,,,,,,,,,,4700,,,,,,,,,4700,4700,,,,,,5500,,,
포테이토&튜나 샐러드,,,,,,,,9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크랜베리치킨 베이글 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,,,,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베지텐더 밸런스랩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쉬림프에그샐러드 (랜치),,,,,,,,8500,8500,,8500,,,,,,8500,,,,,,8500,,8500,,,,,,,,,,,,,,,,,,,,8500,8500,8500,,,,,,,,,,8500,,,,8500,,8500,,,,,,,8500,,,,,,,,,8500
반숙란 샌드위치(1/2),,,,3900,,,,,,,,,,,,,3900,,,,,,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에그쏙 텐더 샌드위치,,,,,,,7100,,,7000,,7300,,,,,6900,,,,,,7000,,,,6900,,7200,,,,,,,,,6900,7200,,,7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
핫치킨치아바타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
햄치즈 토마토 치아바타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리코타 단호박 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,
착한 빵식 통밀식빵 (사각),,,,,,,,5200,,,,,,,,,,,,,,,,,,5500,,,,,,5300,,,,,,,,,,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"순, 식빵 (대)",,,,,,,,,,,,,,,,,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"순, 식빵 (소)",,,,,,,,,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,,,
고소 담백 더치브레드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
데일리 치아바타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복숭아잼,,,,,,,,7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림듬뿍 슈크림빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바삭 몬테크리스토,,,,,,,,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남해 마늘로 만든 마늘 치킨 고로케,,,,,,,,3300,,,,,4800,,,,,,,,,,,,,,,,,,,,,3300,,,,,,,3300,,,,3300,,,,,,,,,,,,,,3300,,,,,,,,,,,,,,,3300,,,,,
에그마요 소금버터롤,4300,,,,,,4300,4300,,,,4300,,4700,,,,4500,3400,4300,,4500,4300,,,,4300,,4300,,4300,,4100,,,,,,4300,,4300,4300,4300,,4300,,,,,,,,,,,4900,,4300,,,,,,,,,,,,,,,4300,,,4800,,4300,
더블 롤치즈 식빵 (대),,,,,,,,7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW 치즈바게트,,,,,,,,5200,,,,,,,,,5200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
